Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Pete Crow-Armstrong,CHC,OF,22,13.0,14,3,0,0,0,0,1,2,2,3,7,2.0,0.0,0,0.0,0.176,0.0,0.176
Taylor Kohlwey,SD,OF,30,5.0,13,0,2,0,0,0,0,0,0,0,5,0.0,0.0,0,0.154,0.154,0.154,0.308
Forrest Wall,ATL,OF,29,15.0,13,6,6,2,0,1,2,5,1,2,4,0.0,0.0,0,0.462,0.533,0.846,1.379
Manny Pina,OAK,C,37,4.0,12,1,3,0,0,1,1,0,0,0,3,0.0,0.0,0,0.25,0.25,0.5,0.75
Austin Wynns,LAD,C,34,5.0,11,0,2,1,0,0,2,0,0,1,5,0.0,0.0,0,0.182,0.25,0.273,0.523
Anthony Bemboom,BAL,C,35,6.0,11,0,2,0,0,0,0,0,0,2,2,0.0,0.0,0,0.182,0.308,0.182,0.49
Irving Lopez,STL,2B,29,5.0,11,0,0,0,0,0,1,0,0,0,5,0.0,1.0,0,0.0,0.0,0.0,0.0
Eric Haase,CLE,C,32,3.0,10,0,2,0,0,0,0,1,0,1,3,0.0,0.0,0,0.2,0.273,0.2,0.473
Ehire Adrianza,ATL,OF,35,5.0,10,0,0,0,0,0,0,0,0,1,4,0.0,0.0,0,0.0,0.091,0.0,0.091
Mark Mathias,SF,DH,30,5.0,10,1,2,0,0,0,2,0,0,0,4,0.0,0.0,0,0.2,0.2,0.2,0.4
Luke Williams,LAD,SS,28,4.0,10,0,1,0,0,0,0,1,0,0,3,0.0,,0,0.1,0.1,0.1,0.2
Jahmai Jones,MIL,DH,27,7.0,10,2,2,1,0,0,3,1,0,1,5,0.0,0.0,0,0.2,0.273,0.3,0.573
Luke Williams,ATL,SS,28,7.0,9,1,0,0,0,0,0,3,0,0,4,0.0,0.0,0,0.0,0.0,0.0,0.0
Tyler Heineman,PIT,C,33,3.0,9,1,1,0,0,0,0,1,0,1,1,0.0,0.0,0,0.111,0.2,0.111,0.311
Raimel Tapia,TB,OF,31,5.0,9,4,3,0,0,0,0,2,0,2,1,0.0,0.0,0,0.333,0.455,0.333,0.788
David Dahl,SD,OF,30,4.0,9,1,1,0,0,1,1,0,0,0,2,0.0,0.0,0,0.111,0.111,0.444,0.555
Cal Stevenson,SF,OF,28,6.0,9,1,0,0,0,0,0,0,0,3,2,0.0,0.0,0,0.0,0.25,0.0,0.25
Jacob Amaya,MIA,SS,26,4.0,9,1,2,0,0,0,2,1,0,0,1,0.0,0.0,0,0.222,0.222,0.222,0.444
Livan Soto,LAA,SS,24,,9,2,2,0,0,0,0,0,0,3,2,0.0,0.0,0,0.222,0.417,0.222,0.639
Tyler Naquin,CWS,OF,33,5.0,8,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0,0.0,0.0,0.0,0.0
Luis Torrens,SEA,C,28,5.0,8,0,2,2,0,0,1,0,0,0,1,0.0,0.0,0,0.25,0.25,0.5,0.75
Michael Perez,NYM,C,32,3.0,8,1,4,1,0,0,0,0,0,0,1,0.0,0.0,0,0.5,0.5,0.625,1.125
Cole Tucker,COL,OF,28,5.0,8,2,4,0,0,0,2,0,0,1,2,0.0,0.0,1,0.5,0.6,0.5,1.1
Kevin Padlo,LAA,3B,28,3.0,8,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0.125,0.125,0.25,0.375
Jonathan Ornelas,TEX,SS,24,8.0,7,2,1,0,0,0,0,0,0,0,4,0.0,0.0,1,0.143,0.25,0.143,0.393
Rylan Bannon,HOU,3B,28,2.0,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
Drew Maggi,PIT,3B,35,3.0,6,1,2,1,0,0,1,0,0,0,1,0.0,0.0,0,0.333,0.333,0.5,0.833
Adam Engel,SD,OF,33,5.0,6,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
AJ Pollock,SF,OF,37,5.0,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
Gary Sanchez,NYM,C,32,3.0,6,0,1,0,0,0,1,0,0,0,3,0.0,1.0,0,0.167,0.143,0.167,0.31
Tyler Cropley,KC,C,29,2.0,6,0,1,0,0,0,1,0,0,0,2,0.0,1.0,0,0.167,0.143,0.167,0.31
Cam Eden,TOR,OF,26,5.0,6,1,1,0,0,0,0,0,0,0,2,0.0,0.0,0,0.167,0.167,0.167,0.334
Caleb Hamilton,BOS,C,30,4.0,5,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0,0.0,0.167,0.0,0.167
Jake Marisnick,LAD,OF,33,4.0,5,0,2,0,0,0,0,0,1,0,0,0.0,0.0,1,0.4,0.5,0.4,0.9
Matt Reynolds,CIN,3B,34,2.0,5,1,1,0,0,0,0,0,0,0,3,0.0,0.0,0,0.2,0.2,0.2,0.4
Isan Diaz,DET,2B,28,2.0,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
Tristan Gray,TB,1B,28,2.0,5,1,2,0,0,1,1,0,0,0,0,0.0,0.0,0,0.4,0.4,1.0,1.4
Michael Siani,STL,OF,25,5.0,5,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Matt Beaty,SF,1B,31,4.0,5,1,1,0,0,0,1,0,0,0,2,0.0,0.0,0,0.2,0.2,0.2,0.4
Jeter Downs,WAS,SS,26,6.0,5,4,2,0,0,0,1,2,0,4,1,0.0,0.0,0,0.4,0.667,0.4,1.067
Cal Mitchell,PIT,OF,26,2.0,4,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0.0,0.2,0.0,0.2
Connor Kaiser,COL,SS,28,3.0,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
