Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Kyle McCann,2024,C,27,40,157,140,13,33,4,0,5,15,0,0,16,59,0,0,1,0.236,0.318,0.371,0.6890000000000001,OAK
Kyle Schwarber,2024,DH,31,162,692,573,110,142,22,0,38,104,5,3,106,197,0,8,5,0.248,0.366,0.485,0.851,PHI
Kyle Stowers,2024,OF,27,53,209,192,15,40,11,2,3,24,0,1,13,74,0,1,3,0.208,0.268,0.333,0.601,BAL
Kyle Tucker,2024,OF,28,84,336,277,56,80,13,0,23,49,11,0,56,54,0,2,1,0.289,0.408,0.585,0.9929999999999999,HOU
LaMonte Wade,2024,1B,31,100,400,331,45,86,16,0,8,34,2,1,62,90,1,3,4,0.26,0.38,0.381,0.761,SF
Lane Thomas,2024,OF,29,133,528,472,65,112,26,3,15,63,32,14,44,137,0,5,7,0.237,0.309,0.4,0.7090000000000001,CLE
Lars Nootbaar,2024,OF,27,101,404,348,39,85,18,3,12,45,7,3,52,79,1,3,1,0.244,0.342,0.417,0.759,STL
Lawrence Butler,2024,OF,24,113,451,412,63,108,24,2,22,57,18,0,35,108,0,4,0,0.262,0.317,0.49,0.8069999999999999,OAK
Lenyn Sosa,2024,2B,25,92,367,351,28,89,13,0,8,35,3,1,12,77,2,1,3,0.254,0.283,0.359,0.6419999999999999,CWS
Leo Jimenez,2024,SS,23,53,210,179,18,41,11,0,4,19,0,0,12,59,0,3,16,0.229,0.329,0.358,0.687,TOR
Leo Rivas,2024,2B,27,21,84,73,10,17,1,1,0,8,3,0,10,24,2,0,1,0.233,0.333,0.274,0.607,SEA
Leody Taveras,2024,OF,26,132,526,480,59,110,17,3,12,44,23,6,42,112,3,4,0,0.229,0.289,0.352,0.641,TEX
Logan O'Hoppe,2024,C,25,130,520,479,64,117,17,1,20,56,2,3,33,155,1,0,8,0.244,0.304,0.409,0.713,LAA
Lourdes Gurriel,2024,OF,31,139,553,513,72,143,22,2,18,75,7,1,29,101,0,5,6,0.279,0.322,0.435,0.757,ARI
Luis Arraez,2024,1B,27,162,670,637,83,200,32,3,4,46,9,3,24,29,2,1,8,0.314,0.346,0.392,0.738,MIA
Luis Campusano,2024,C,26,75,299,277,37,63,13,0,8,40,0,0,20,41,0,1,1,0.227,0.281,0.361,0.642,SD
Luis Garcia,2024,2B,24,132,528,500,58,141,25,1,18,70,22,5,27,86,0,1,0,0.282,0.318,0.444,0.762,WSH
Luis Guillorme,2024,2B,30,48,186,161,14,33,9,1,0,10,4,2,23,36,1,2,0,0.205,0.301,0.273,0.5740000000000001,ATL
Luis Matos,2024,OF,23,39,156,150,14,32,5,0,5,25,0,0,5,24,0,1,0,0.213,0.237,0.347,0.584,SF
Luis Rengifo,2024,2B,27,76,303,283,41,85,13,1,6,30,24,7,16,44,1,0,4,0.3,0.347,0.417,0.764,LAA
Luis Robert,2024,OF,27,106,424,393,47,88,19,0,14,35,23,6,28,141,0,1,2,0.224,0.278,0.379,0.657,CWS
Luis Torrens,2024,C,28,33,130,118,14,27,8,0,3,15,0,1,9,28,0,1,2,0.229,0.292,0.373,0.665,NYM
Luis Urias,2024,3B,27,28,109,94,11,18,7,0,4,16,0,0,9,34,0,0,6,0.191,0.303,0.394,0.6970000000000001,SEA
Luke Maile,2024,C,34,39,153,135,8,24,4,0,2,8,2,0,13,52,1,1,4,0.178,0.268,0.252,0.52,CIN
Luke Raley,2024,1B,30,114,453,404,58,98,19,2,22,58,11,2,27,135,2,2,20,0.243,0.32,0.463,0.783,SEA
MJ Melendez,2024,OF,26,113,450,412,44,85,23,3,17,44,4,4,35,113,0,0,3,0.206,0.273,0.4,0.673,KC
Maikel Garcia,2024,3B,24,156,622,575,84,133,27,5,7,58,37,2,42,103,4,5,0,0.231,0.281,0.332,0.613,KC
Manny Machado,2024,3B,32,161,643,593,77,163,30,0,29,105,11,2,45,124,0,4,1,0.275,0.325,0.472,0.7969999999999999,SD
Manuel Margot,2024,OF,30,86,342,315,37,75,17,1,4,31,5,0,21,54,1,3,3,0.238,0.289,0.337,0.626,MIN
Marcell Ozuna,2024,DH,34,162,687,606,96,183,31,0,39,104,1,0,74,170,0,4,3,0.302,0.378,0.546,0.924,ATL
Marco Luciano,2024,SS,23,21,81,76,10,16,5,1,0,3,0,1,5,28,0,0,0,0.211,0.259,0.303,0.562,SF
Marcus Semien,2024,2B,34,162,718,650,101,154,27,2,23,74,8,3,64,105,0,1,3,0.237,0.308,0.391,0.6990000000000001,TEX
Mark Canha,2024,OF,36,117,462,393,46,95,20,0,7,42,7,0,51,96,0,5,13,0.242,0.344,0.346,0.69,SF
Mark Vientos,2024,3B,25,114,454,413,58,110,22,0,27,71,0,0,33,135,0,5,3,0.266,0.322,0.516,0.8380000000000001,NYM
Martin Maldonado,2024,C,38,36,144,135,9,16,3,0,4,11,0,0,8,51,3,0,1,0.119,0.174,0.23,0.404,CWS
Masataka Yoshida,2024,DH,31,105,419,378,45,106,21,0,10,56,2,0,27,52,0,0,14,0.28,0.351,0.415,0.766,BOS
Masyn Winn,2024,SS,22,159,634,587,85,157,32,5,15,57,11,5,41,109,3,5,1,0.267,0.314,0.416,0.73,STL
Matt Carpenter,2024,DH,39,39,156,137,15,32,7,0,4,15,0,2,15,51,0,2,2,0.234,0.314,0.372,0.6859999999999999,STL
Matt Chapman,2024,3B,31,162,647,575,98,142,39,2,27,78,15,2,64,158,0,2,6,0.247,0.328,0.463,0.791,SF
Matt Olson,2024,1B,30,162,685,600,78,148,37,1,29,98,0,0,71,170,0,5,9,0.247,0.333,0.457,0.79,ATL
Matt Thaiss,2024,C,29,47,186,157,14,32,9,0,2,16,3,0,28,58,0,1,0,0.204,0.323,0.299,0.622,LAA
Matt Vierling,2024,OF,28,142,567,518,80,133,28,5,16,57,6,1,41,121,0,5,3,0.257,0.312,0.423,0.735,DET
Matt Wallner,2024,OF,27,66,261,220,26,57,17,1,13,37,3,0,24,95,0,1,16,0.259,0.372,0.523,0.895,MIN
Mauricio Dubon,2024,OF,30,107,425,402,45,108,25,0,4,47,3,2,16,55,3,5,2,0.269,0.296,0.361,0.657,HOU
Max Kepler,2024,OF,32,100,398,368,43,93,21,1,8,42,1,0,22,80,0,3,5,0.253,0.302,0.38,0.6819999999999999,MIN
